9-12-2017 16:47:28;151;1025.35;24.374;0.0
9-12-2017 16:47:53;152;1025.35;24.366;0.0
9-12-2017 16:48:20;149;1025.33;24.356;0.0
9-12-2017 16:52:33;151;1025.29;24.348;0.0;raw_picture.jpeg
9-12-2017 17:38:47;141;1024.25;24.619;0.0;raw_picture.jpeg
9-12-2017 17:39:35;143;1026.56;24.608;0.0;raw_picture.jpeg
9-12-2017 17:40:34;143;1025.33;24.59;0.0;raw_picture.jpeg
9-12-2017 17:41:0;142;1025.33;24.57;0.0;raw_picture.jpeg
9-12-2017 17:41:10;142;1024.16;24.559;0.0;raw_picture.jpeg
9-12-2017 17:42:0;142;1025.35;24.548;0.0;raw_picture.jpeg
9-12-2017 17:42:28;142;1024.16;24.547;0.0;raw_picture.jpeg
9-12-2017 17:43:9;140;1024.16;24.549;0.0;raw_picture.jpeg
9-12-2017 17:44:23;151;1024.1;24.55;0.0;raw_picture.jpeg
9-12-2017 17:46:17;151;1025.29;24.76;0.0;raw_picture.jpeg
9-12-2017 17:49:1;150;1024.1;24.93;0.0;raw_picture.jpeg
9-12-2017 17:55:23;151;1025.23;27.49;0.0;raw_picture.jpeg
9-12-2017 17:56:51;144;1024.1;27.48;0.0;raw_picture.jpeg
9-12-2017 17:58:14;136;1025.29;28.5;0.0;raw_picture.jpeg
9-12-2017 17:58:47;3092;1025.31;28.32;0.0;raw_picture.jpeg
9-12-2017 18:0:14;142;1025.39;26.83;0.0;raw_picture.jpeg
